Sno,Customer_ID,Weeks,Contract_Renewal,Data_Plan,Data_Usage,Calls_To_Customer_Care,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Customer_Attrition,Inserted_Date
1,2951997,57,1,1,2.57,0,213,115,78.7,9.56,9.5,No,05/01/2012
2,2461448,54,1,0,0,3,134.3,73,37,7.78,14.7,No,05/01/2012
3,3573953,20,1,0,0.32,0,190,109,58.2,12.91,6.3,No,05/01/2012
4,728293,49,1,0,0.21,1,119.3,117,41.1,10.76,11.1,No,05/01/2012
5,6987894,142,1,0,0,2,84.8,95,27,6.84,14.2,No,05/01/2012
6,3583698,75,1,0,0,1,226.1,105,56,10.08,10.3,No,05/01/2012
7,4811970,172,1,0,0,3,212,121,39,1.56,12.6,No,05/01/2012
8,7175494,12,1,0,0,1,249.6,118,64,12.62,11.8,Yes,05/01/2012
9,3294209,57,1,1,2.24,0,176.8,94,69.4,9.75,8.3,No,05/01/2012
10,5993656,72,1,1,3.97,3,220,80,95.7,10.87,14.7,No,05/01/2012
11,780742,36,1,1,3.92,0,146.3,128,78.2,8.13,14.5,No,05/01/2012
12,1447178,78,1,0,0,1,130.8,64,42,11.19,10,No,05/01/2012
13,3336167,136,0,1,2.84,3,203.9,106,79.4,9.38,10.5,No,05/01/2012
14,2271915,149,1,0,0,1,140.4,94,47,13.59,11.1,No,05/01/2012
15,120959,98,1,0,0.3,3,126.3,102,39,8.34,9.4,No,05/01/2012
16,838102,135,0,1,3.94,0,173.1,85,86.4,10.2,14.6,Yes,05/01/2012
17,7686470,34,1,0,0,2,124.8,82,46,14.11,10,No,05/01/2012
18,3863423,160,1,0,0.38,3,85.8,77,32.8,8.27,9.2,No,05/01/2012
19,3267904,64,1,0,0.24,1,154,67,48.4,11.29,3.5,No,05/01/2012
20,5788677,59,1,1,2.3,2,120.9,97,62,10.65,8.5,No,05/01/2012
21,7178706,65,1,0,0,3,211.3,120,50,8.13,13.2,No,05/01/2012
22,904351,142,1,0,0.35,2,187,133,47.5,6.73,7.4,No,05/01/2012
23,6557285,119,1,0,0,5,159.1,114,47,11.57,8.8,Yes,05/01/2012
24,2399226,97,1,1,2.97,1,133.2,135,71.7,10.86,11,No,05/01/2012
25,5350819,52,1,0,0.32,3,191.9,108,59.2,13.49,7.8,No,05/01/2012
26,5081707,60,1,0,0,1,220.6,57,56,10.56,6.8,No,05/01/2012
27,8411091,10,1,0,0,2,186.1,112,48,9.51,11.4,No,05/01/2012
28,5715709,96,1,0,0.21,2,160.2,117,52.1,13.38,9.3,No,05/01/2012
29,3135566,87,1,0,0,5,151,83,45,10.99,9.7,Yes,05/01/2012
30,3090626,81,1,0,0.11,1,175.5,67,53.1,12.47,10.2,No,05/01/2012
31,7841541,141,1,0,0,1,126.9,98,37,9,8,No,05/01/2012
32,996457,121,1,1,1.57,3,198.4,129,56.7,3.77,5.8,Yes,05/01/2012
33,3666993,68,1,0,0,3,148.8,70,47,12.33,12.1,No,05/01/2012
34,3933386,174,1,0,0,1,192.1,97,48,8.5,11.4,No,05/01/2012
35,2283761,116,1,1,3.13,2,268.6,83,92.3,8.91,11.6,No,05/01/2012
36,8079381,74,1,1,3.94,2,193.7,91,93.4,12.31,14.6,No,05/01/2012
37,882675,149,1,1,3.4,3,180.7,92,81,9.39,12.6,No,05/01/2012
38,8467448,38,1,0,0,2,131.2,98,37,8.15,8.2,No,05/01/2012
39,5914721,40,1,1,1.67,2,148.1,74,56.7,8.48,6.2,No,05/01/2012
40,8115532,43,0,0,0,0,251.5,105,61,10.64,9.3,No,05/01/2012
41,3265112,113,0,0,0,0,125.2,93,39,10.32,8.3,No,05/01/2012
42,4855452,126,1,0,0,1,211.6,70,55,10.85,7.8,No,05/01/2012
43,5284665,150,1,0,0,4,178.9,101,45,8.46,13.8,Yes,05/01/2012
44,7166286,138,1,0,0,3,241.8,93,56,8.53,11.8,No,05/01/2012
45,3941889,162,1,1,3.27,0,224.9,97,87.7,9.41,12.1,No,05/01/2012
46,2983844,147,1,0,0,3,248.6,83,55,7.45,8,No,05/01/2012
47,1051487,90,1,0,0,1,203.4,146,54,11.34,7.3,No,05/01/2012
48,230344,85,1,0,0,0,235.8,109,54,7.86,12,No,05/01/2012
49,2648435,50,1,0,0,1,157.1,90,46,11.17,6.1,No,05/01/2012
50,6401592,82,1,0,0.21,0,300.3,109,69.1,9.05,11.7,Yes,05/01/2012
51,4637915,144,1,0,0.21,4,61.6,117,20.1,3.86,8.2,Yes,05/01/2012
52,6948760,46,1,0,0.26,2,214.1,72,53.6,8.22,8.2,No,05/01/2012
53,6136199,70,1,0,0.3,1,170.2,98,46,7.76,15,No,05/01/2012
54,5061543,144,1,0,0,1,201.1,99,60,15.18,13.2,No,05/01/2012
55,4473024,116,0,0,0.3,3,215.4,104,58,10.24,12.6,No,05/01/2012
56,212935,55,1,1,2.97,3,165.6,123,69.7,6.81,11,No,05/01/2012
57,1519127,70,1,1,2.65,1,249.5,101,91.5,12.99,9.8,No,05/01/2012
58,4456677,106,1,0,0,2,210.6,96,57,12.46,12.4,Yes,05/01/2012
59,6002771,128,1,1,2.32,0,179.3,104,73.2,11.3,8.6,No,05/01/2012
